layer_id,shape,precision,tactic,candidate_operator,confidence
142,"inputs=[{""name"":""/Add_20_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_44 _ /Transpose_28_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye568305/MatMul_10_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568306/MatMul_10_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568302"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
145,"inputs=[{""name"":""/Softmax_5_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_11_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye568326/MatMul_11_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568327/MatMul_11_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2809"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
147,"inputs=[{""name"":""hidden_l4"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574538_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye616884dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2811"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L5:o_proj,HIGH
149,"inputs=[{""name"":""__myln_k_arg__bb1_2812"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye616889dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye568350/up_proj_5/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568351/up_proj_5/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2814"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L5:up_proj,HIGH
150,"inputs=[{""name"":""__myln_k_arg__bb1_2814"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2813"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye616894dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2815"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L5:gate_proj,HIGH
151,"inputs=[{""name"":""__myln_k_arg__bb1_2811"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2815"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7744 _ ONNXTRT_Broadcast_1706_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l5"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L5:down_proj,HIGH
155,"inputs=[{""name"":""__myln_k_arg__bb1_2819"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye616899dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2820"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L6:v_proj,HIGH
159,"inputs=[{""name"":""__myln_k_arg__bb1_2818"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye617057dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2823"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L6:k_proj,HIGH
163,"inputs=[{""name"":""__myln_k_arg__bb1_2817"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye617062dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2828"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L6:q_proj,HIGH
167,"inputs=[{""name"":""/Add_24_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_52 _ /Transpose_33_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye568424/MatMul_12_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568425/MatMul_12_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568421"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
170,"inputs=[{""name"":""/Softmax_6_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_13_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye568445/MatMul_13_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568446/MatMul_13_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2834"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
172,"inputs=[{""name"":""hidden_l5"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574544_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye617414dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2836"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L6:o_proj,HIGH
174,"inputs=[{""name"":""__myln_k_arg__bb1_2837"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye617419dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye568469/up_proj_6/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568470/up_proj_6/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2839"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L6:up_proj,HIGH
175,"inputs=[{""name"":""__myln_k_arg__bb1_2839"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2838"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye617424dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2840"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L6:gate_proj,HIGH
176,"inputs=[{""name"":""__myln_k_arg__bb1_2836"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2840"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7780 _ ONNXTRT_Broadcast_1989_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l6"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L6:down_proj,HIGH
180,"inputs=[{""name"":""__myln_k_arg__bb1_2844"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye617429dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2845"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L7:v_proj,HIGH
184,"inputs=[{""name"":""__myln_k_arg__bb1_2843"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye617587dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2848"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L7:k_proj,HIGH
188,"inputs=[{""name"":""__myln_k_arg__bb1_2842"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye617592dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2853"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L7:q_proj,HIGH
192,"inputs=[{""name"":""/Add_28_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_60 _ /Transpose_38_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye568543/MatMul_14_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568544/MatMul_14_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568540"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
195,"inputs=[{""name"":""/Softmax_7_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_15_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye568564/MatMul_15_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568565/MatMul_15_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2859"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
197,"inputs=[{""name"":""hidden_l6"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574550_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye617944dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2861"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L7:o_proj,HIGH
199,"inputs=[{""name"":""__myln_k_arg__bb1_2862"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye617949dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye568588/up_proj_7/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568589/up_proj_7/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2864"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L7:up_proj,HIGH
200,"inputs=[{""name"":""__myln_k_arg__bb1_2864"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2863"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye617954dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2865"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L7:gate_proj,HIGH
201,"inputs=[{""name"":""__myln_k_arg__bb1_2861"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2865"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7816 _ ONNXTRT_Broadcast_2272_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l7"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L7:down_proj,HIGH
205,"inputs=[{""name"":""__myln_k_arg__bb1_2869"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye617959dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2870"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L8:v_proj,HIGH
209,"inputs=[{""name"":""__myln_k_arg__bb1_2868"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye618117dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2873"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L8:k_proj,HIGH
213,"inputs=[{""name"":""__myln_k_arg__bb1_2867"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye618122dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2878"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L8:q_proj,HIGH
217,"inputs=[{""name"":""/Add_32_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_68 _ /Transpose_43_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye568662/MatMul_16_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568663/MatMul_16_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568659"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
220,"inputs=[{""name"":""/Softmax_8_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_17_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye568683/MatMul_17_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568684/MatMul_17_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568680"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
221,"inputs=[{""name"":""hidden_l7"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye568680"",""shape"":[1,1,2048],""precision"":""Half""},{""name"":""__mye618474dconst"",""shape"":[1,2048,1024],""precision"":""Half""}]|outputs=[{""name"":""__myln_k_arg__bb1_2885"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L8:o_proj,HIGH
223,"inputs=[{""name"":""__myln_k_arg__bb1_2886"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye618479dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye568707/up_proj_8/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568708/up_proj_8/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2888"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L8:up_proj,HIGH
224,"inputs=[{""name"":""__myln_k_arg__bb1_2888"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2887"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye618484dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2889"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L8:gate_proj,HIGH
225,"inputs=[{""name"":""__myln_k_arg__bb1_2885"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2889"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7852 _ ONNXTRT_Broadcast_2552_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l8"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L8:down_proj,HIGH
229,"inputs=[{""name"":""__myln_k_arg__bb1_2893"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye618489dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2894"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L9:v_proj,HIGH
233,"inputs=[{""name"":""__myln_k_arg__bb1_2892"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye618647dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2897"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L9:k_proj,HIGH
237,"inputs=[{""name"":""__myln_k_arg__bb1_2891"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye618652dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2902"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L9:q_proj,HIGH
241,"inputs=[{""name"":""/Add_36_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_76 _ /Transpose_48_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye568781/MatMul_18_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568782/MatMul_18_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568778"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
244,"inputs=[{""name"":""/Softmax_9_output'.1"",""shape"":[16,1,-1],""precision"":""Half""},{""name"":""/Expand_19_output_0'.1"",""shape"":[16,-1,128],""precision"":""Half""},{""name"":""__mye568802/MatMul_19_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568803/MatMul_19_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2908"",""shape"":[16,1,128],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
246,"inputs=[{""name"":""hidden_l8"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye574556_q8"",""shape"":[1,1,2048],""precision"":""Int8""},{""name"":""__mye619004dconst"",""shape"":[1,2048,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2910"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L9:o_proj,HIGH
248,"inputs=[{""name"":""__myln_k_arg__bb1_2911"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__mye619009dconst"",""shape"":[1,1024,3072],""precision"":""Half""},{""name"":""__mye568826/up_proj_9/MatMul_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568827/up_proj_9/MatMul_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__myln_k_arg__bb1_2913"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,L9:up_proj,HIGH
249,"inputs=[{""name"":""__myln_k_arg__bb1_2913"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2912"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye619014dconst"",""shape"":[1,1024,3072],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2914"",""shape"":[1,1,3072],""precision"":""Half""}]",inputs=Half;Int8;Int8|outputs=Half,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L9:gate_proj,HIGH
250,"inputs=[{""name"":""__myln_k_arg__bb1_2910"",""shape"":[1,1,1024],""precision"":""Half""},{""name"":""__myln_k_arg__bb1_2914"",""shape"":[1,1,3072],""precision"":""Half""},{""name"":""onnx__MatMul_7888 _ ONNXTRT_Broadcast_2835_constantHalf"",""shape"":[1,3072,1024],""precision"":""Half""}]|outputs=[{""name"":""hidden_l9"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Half;Half;Half|outputs=Half,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_by_fusion_tactic,L9:down_proj,HIGH
254,"inputs=[{""name"":""__myln_k_arg__bb1_2918"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye619019dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2919"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L10:v_proj,HIGH
258,"inputs=[{""name"":""__myln_k_arg__bb1_2917"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye619177dconst"",""shape"":[1,1024,1024],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2922"",""shape"":[1,1,1024],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L10:k_proj,HIGH
262,"inputs=[{""name"":""__myln_k_arg__bb1_2916"",""shape"":[1,1,1024],""precision"":""Int8""},{""name"":""__mye619182dconst"",""shape"":[1,1024,2048],""precision"":""Int8""}]|outputs=[{""name"":""__myln_k_arg__bb1_2927"",""shape"":[1,1,2048],""precision"":""Half""}]",inputs=Int8;Int8|outputs=Half,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_by_fusion_tactic,L10:q_proj,HIGH
266,"inputs=[{""name"":""/Add_40_output_0'.1"",""shape"":[16,1,128],""precision"":""Half""},{""name"":""shuffle_output_/Reshape_84 _ /Transpose_53_first_transpose_output.1"",""shape"":[16,128,-1],""precision"":""Half""},{""name"":""__mye568900/MatMul_20_alpha"",""shape"":[1],""precision"":""Float""},{""name"":""__mye568901/MatMul_20_beta"",""shape"":[1],""precision"":""Float""}]|outputs=[{""name"":""__mye568897"",""shape"":[16,1,-1],""precision"":""Half""}]",inputs=Half;Half;Float;Float|outputs=Half,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2,UNKNOWN,MEDIUM
