experiment_id,name,phase,status,platform,branch,commit,baseline,result,gate,report,date
Phase5B,TensorRT GEMM path investigation,Phase 5,CASE_A_SUPPORTED_BOUNDED / NO_PROVEN_OPTIMIZATION_TARGET,Jetson Orin Nano Super,phase/05a-cuda-feasibility-baseline-study,HEAD,"Step 1 Inspector attribution plus Step 2 targeted NCU comparison","Step 1 recovered 28/28 tactic strings. Step 2 NCU captured one cuBLASLt algo-21 launch and one TensorRT f16f16 xmma launch: durations 242.912 vs 244.160 us; memory/L2 76.06% vs 76.92%; resource shapes differ; event-time gap INCONCLUSIVE; backend identity UNKNOWN",CASE_A_SUPPORTED_BOUNDED / NO_PROVEN_OPTIMIZATION_TARGET,results/phase5b_tensorrt_gemm_path_investigation/20260905T112513Z/phase5b_step2_ncu_comparison.md,2026-09-05
Phase5Close,GEMM investigation freeze and next target re-selection,Phase 5,PASS / BOUNDED / NO_PROVEN_OPTIMIZATION_TARGET,Jetson Orin Nano Super,phase/05a-cuda-feasibility-baseline-study,HEAD,"Repository-driven Phase 5 evidence freeze and read-only candidate re-ranking","Phase 5 closed with no proven CUDA GEMM target or tactic defect; event-time gap INCONCLUSIVE; backend identity UNKNOWN; up_proj CLOSED_FOR_NOW; next NEXT_TARGET_BOUNDED with Rank1 unknown_attention_matmul attribution-only",PASS / BOUNDED / NO_PROVEN_OPTIMIZATION_TARGET,results/phase5_closeout_and_target_reselection/20260905T115247Z/phase5_final_closeout_report.md,2026-09-05
Phase6A,Unknown attention MatMul attribution recovery,Phase 6,PASS / BOUNDED,Windows repository analysis,phase/06a-attention-matmul-attribution,HEAD,Frozen Phase 2.3-E/4-A/3-C artifacts,"56 decode MatMul candidates; 28 HIGH QK^T and 28 HIGH Attention x V; prefill fused and decode standalone; raw 61.815776 ms is 57-row/231-instance all-trace aggregate; h16816 54.984352 ms INCONCLUSIVE; tactic-consistent 6.831424 ms is 2.957966%",PASS / BOUNDED / NO_PROVEN_ATTENTION_OPTIMIZATION_TARGET,results/phase6a_unknown_attention_matmul_attribution/20260906T040500Z/phase6a_attribution_report.md,2026-09-06
Phase6B,h16816 historical anomaly reconciliation,Phase 6,PASS / BOUNDED,Windows repository analysis,phase/06b-h16816-anomaly-reconciliation,HEAD,Frozen Phase 3-C/3-E/4-A/6-A artifacts,"Seven distinct h16816 launches sum to 54984352 ns; all 11 /MatMul ranges correlate to one launch API and one kernel; five steady launches are 35951296 ns / 24.319258%; semantic QK^T HIGH but optimization surface unresolved",PASS / BOUNDED / H16816_REAL_BUT_OPTIMIZATION_SURFACE_UNRESOLVED,results/phase6b_h16816_anomaly_reconciliation/20260906T043528Z/phase6b_reconciliation_report.md,2026-09-06
Phase6C,Decode QK^T dynamic path attribution,Phase 6,PASS / BOUNDED,Windows repository analysis,phase/06c-qk-dynamic-path-attribution,HEAD,Frozen Phase 3-C/4-A/6-A/6-B artifacts,"Exactly 11 /MatMul launches: 7 h16816 and 4 xmma; immediate NVTX parents differ consistently; runtime shapes, workload identity, and transition trigger UNKNOWN; normalized performance NOT_CALCULATED",PASS / BOUNDED / QK_PATH_TRANSITION_UNRESOLVED,results/phase6c_qk_dynamic_path_attribution/20260906T061115Z/phase6c_attribution_report.md,2026-09-06
Phase6D,Evidence-corrected optimization target re-ranking,Phase 6,PASS / BOUNDED,Windows repository analysis,phase/06d-evidence-corrected-target-ranking,HEAD,Frozen Phase 5/6-A/6-B/6-C artifacts,"Frozen unweighted ranking R+A+S+B+F-U; Rank 1 layer-0 QK^T h16816 score 8 but ATTRIBUTION_ONLY; runtime shapes/workload/invocation/trigger/surface unresolved; up_proj remains CLOSED_FOR_NOW",NEXT_ATTRIBUTION_TARGET_RECOVERED,results/phase6d_evidence_corrected_target_ranking/20260906T081143Z/phase6d_target_ranking_report.md,2026-09-06
Phase6E,Frozen-engine QK runtime shape and invocation attribution,Phase 6,PASS / BOUNDED,Jetson Orin Nano Super,phase/06e-qk-runtime-shape-invocation-attribution,HEAD,Frozen Phase 2/3 Mixed engine stack and historical workload sequence,"Controlled decode cache growth 8->12; derived layer-0 QK GEMM shapes 1xN x 128; kernel arguments UNKNOWN; all four /MatMul launches xmma and zero h16816; workload identity and trigger UNKNOWN",QK_H16816_PATH_NOT_REPRODUCED,results/phase6e_qk_runtime_shape_invocation_attribution/20260906T083753Z/phase6e_attribution_report.md,2026-09-06
Phase6F,Post-reproduction evidence-corrected target re-ranking,Phase 6,PASS / BOUNDED,Windows repository analysis,phase/06f-post-reproduction-target-ranking,HEAD,Frozen Phase 5/6-A/6-B/6-C/6-D/6-E artifacts,"Phase 6-D scoring reused; direct AV all-trace 4237568 ns / 1.834842% and QK layers 1-27 2518016 ns / 1.090286%; layer-0 QK score 6 but NO_CURRENT_ACTION; AV selected ATTRIBUTION_ONLY; up_proj remains CLOSED_FOR_NOW",NEXT_ATTRIBUTION_TARGET_RECOVERED,results/phase6f_post_reproduction_target_ranking/20260906T143411Z/phase6f_target_ranking_report.md,2026-09-06
Phase6G,Representative boundary Attention x V runtime/kernel attribution,Phase 6,PASS / BOUNDED,Remote read-only SQLite analysis,phase/06g-attention-v-runtime-attribution,HEAD,"Frozen Phase 3-C SQLite plus Phase 4-A/6-A/6-F artifacts","112/112 AV instances recovered for 28 layers; 112 correlation IDs and one xmma kernel family; steady AV 4237568 ns / 2.866503% of 147830560 ns; all-trace 1.834842% of 230950048 ns; optimization surface NOT PROVEN",AV_RUNTIME_SURFACE_RECOVERED,results/phase6g_attention_v_runtime_attribution/phase6g_20260906T151718Z/phase6g_attribution_report.md,2026-09-06
Phase6H,Attention x V feasibility boundary study,Phase 6,PASS / BOUNDED,Windows repository analysis,phase/06h-attention-v-feasibility-boundary,HEAD,"Frozen Phase 6-G runtime attribution plus Phase 3-E/5-B NCU context","112/112 AV instances remain directly attributable; zero committed NCU artifacts carry the exact AV kernel or an AV correlation ID; inefficient enough NOT PROVEN; clean enough PARTIALLY_SUPPORTED for isolation only",NO_PROVEN_AV_OPTIMIZATION_OPPORTUNITY,results/phase6h_attention_v_feasibility_boundary/20260906T160259Z/phase6h_feasibility_report.md,2026-09-06
Phase7,Global optimization target reassessment,Phase 7,PASS / BOUNDED,Windows repository analysis,phase/06h-attention-v-feasibility-boundary,HEAD,"Frozen Phase 3-B through Phase 6-H candidate evidence","Offline synthesis reuses R+A+S+B+F-U unchanged; Attention x V is the strongest active evidence surface at score 6 but has no directly owned NCU efficiency evidence or proven headroom; no candidate satisfies the complete optimization-authorization test",NO_PROVEN_CUSTOM_KERNEL_OPTIMIZATION_TARGET,results/phase7_global_optimization_target_reassessment/20260907T080402Z/phase7_target_reassessment_report.md,2026-09-07
Phase8.0,RMSNorm baseline audit and preparation,Phase 8,PASS / BOUNDED,Jetson Orin Nano Super,phase/08-rmsnorm-optimization,HEAD,"Owner-authorized environment/model audit plus PyTorch RMSNorm baseline only","Jetson SM87/CUDA 12.6/TensorRT 10.3/NCU 2024.3.1/NSYS 2024.5.4; frozen Qwen3 with 28 layers, hidden 1024, epsilon 1e-6, 113 RMSNorm tensors; PyTorch BF16/FP16 prefill/decode finite; amortized event mean 0.192396866-0.198005791 ms but host-launch dominated, kernel-only latency UNKNOWN",PHASE8_1_BASELINE_PREPARED,experiments/Phase8-rmsnorm-optimization/docs/phase8_0_baseline_audit_report.md,2026-09-07
Phase8.1,CUDA RMSNorm kernel implementation and benchmark,Phase 8,PASS / BOUNDED,Jetson Orin Nano Super,phase/08-rmsnorm-optimization,087f999cd3c6a7e7417e3c46c70661b22168f9e4,"Standalone V0/V1/V2 CUDA kernels with FP32-reduction correctness and CUDA Event benchmark","All 12 FP16/BF16 prefill/decode correctness cases PASS; FP16 prefill per-call event mean 0.02369286405/0.02021680002/0.01891695993 ms for V0/V1/V2; FP16 decode 0.02214268798/0.01916262398/0.01759222411 ms; V1-V0 supports sync/reduction attribution while V2 memory attribution remains INCONCLUSIVE",PASS / BOUNDED,experiments/Phase8-rmsnorm-optimization/docs/phase8_1_cuda_rmsnorm_kernel_report.md,2026-09-07
Phase8.2-A,NCU permission audit,Phase 8,BLOCKED,Jetson Orin Nano Super,phase/08-rmsnorm-optimization,50e40313cfbc36f382470fb0f810a51f57dd57f9,"Read-only user/device/capability/NCU audit plus non-elevated smoke test","User is in video/render and NVIDIA nodes are crw-rw-rw-, but /dev/nvidia-caps and /proc/driver/nvidia/capabilities/profiling are NOT_AVAILABLE; non-elevated NCU still reports insufficient privileges and requires root or explicit system profiling authorization",BLOCKED,experiments/Phase8-rmsnorm-optimization/docs/phase8_2A_ncu_permission_audit_report.md,2026-09-07
Phase8.2-B,RMSNorm NCU microarchitecture analysis,Phase 8,PASS / BOUNDED,Jetson Orin Nano Super,phase/08-rmsnorm-optimization,131cdf3452448803caff2f59f28a6b8eacc6942a,"Owner-authorized root NCU profiles of standalone FP16 V0/V1/V2 at prefill and decode","All six root NCU profiles succeeded with --clock-control none; prefill profiler duration V0/V1/V2 25.664/22.656/20.448 us. V1 shared reduction instructions decrease; V2 global sectors 2048 to 1536 and total instructions 29520 to 14672 versus V1, but vectorization/thread-shape attribution is coupled. DRAM throughput N/A on integrated platform",PASS / BOUNDED,experiments/Phase8-rmsnorm-optimization/docs/phase8_2_ncu_rmsnorm_microarchitecture_report.md,2026-09-08
Phase8.3-A,TensorRT RMSNorm Plugin Minimal Integration,Phase 8,PASS / BOUNDED,Jetson Orin Nano Super,phase/08-rmsnorm-optimization,031c98cde416434bbed21ceb74c5a509d99c596b,"Synthetic TensorRT 10.3 IPluginV3 FP16 network [1,8,1024] with Phase 8.1 V2 kernel reuse","Registration/build/deserialization/inference passed; output dtype float16; relative-L2 0.0002063558 and max abs 0.0019426346; plugin mean 0.0146312000 ms versus PyTorch 0.1691536331 ms under 50/200/5; no Qwen3 or ONNX integration",PASS / BOUNDED,experiments/Phase8-rmsnorm-optimization/docs/phase8_3A_tensorrt_plugin_design_report.md,2026-09-08
Phase8.3-B,Qwen3 TensorRT RMSNorm Plugin Single-Node Integration,Phase 8,PASS / BOUNDED,Jetson Orin Nano Super,phase/08-rmsnorm-optimization,f08ff5913149e7f48ccfe39e4612db88a20d67f1,"Real Qwen3 Layer 0 input RMSNorm contract with checkpoint gamma and Layer 0 handoff FP16 [1,8,1024]","Separate original primitive and exactly-one-plugin TensorRT 10.3 engines built/serialized/deserialized/inferred with exit 0; original-vs-plugin relative-L2 0.0003934488 and max abs 0.0009765625; original mean 0.0131521601 ms and plugin mean 0.0147100797 ms under 50/200/5; no full-model claim",PASS / BOUNDED,experiments/Phase8-rmsnorm-optimization/docs/phase8_3B_qwen3_single_rmsnorm_integration_report.md,2026-09-08
Phase8.4-A,Qwen3 TensorRT RMSNorm Plugin End-to-End Impact Evaluation,Phase 8,BOUNDED,Jetson Orin Nano Super,phase/08-rmsnorm-optimization,5174a68ba4bddb031e2bb92843f00b3a465dae5,"Full 28-layer FP16 baseline versus one Layer 0 input_layernorm plugin replacement","Prefill/Decode baseline and plugin graphs and engines all parsed, built, serialized, deserialized, and executed; Layer 0 relative-L2 0.0006377380/0.0008134234 passes the bounded 1e-3 node gate; hidden_l27 relative-L2 0.0221897/0.0143852 leaves full-model equivalence INCONCLUSIVE; plugin latency is +2.96%/+2.13% slower",BOUNDED / NO_END_TO_END_SPEEDUP,experiments/Phase8-rmsnorm-optimization/docs/phase8_4A_qwen3_end_to_end_plugin_impact_report.md,2026-09-09
Phase9.0-plan,Qwen3-VL migration startup plan,Phase 9,PLANNED / NOT_AUTHORIZED,Windows repository analysis,phase/09-qwen3vl-migration,b1dccad72f96578f5326099f1720e739f5c3279d,"Phase 8 frozen end-to-end RMSNorm result","Three-side startup audit found Windows/GitHub at b1dccad and Jetson one commit behind at 6fb1877; no model download, benchmark, code execution, engine build, profiling, or environment change occurred. Qwen3-VL model/runtime facts are UNKNOWN",PLANNED / NOT_AUTHORIZED,docs/handoff/phase9_qwen3vl_migration_plan.md,2026-09-15
Phase9.0-audit,Qwen3-VL model and environment audit,Phase 9,BLOCKED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,72c41b8b45c3a731a026355d1e45a048819a6ddd,"No local model; Phase 8 frozen","Read-only Jetson audit found no Qwen3-VL checkpoint or HF cache. PyTorch 2.5.0a0/CUDA 12.6/TensorRT 10.3.0 and Transformers 4.57.3 expose Qwen3-VL classes, but checkpoint identity, tensor inventory, architecture details, and input contract remain UNKNOWN",BLOCKED / NO_LOCAL_MODEL,experiments/Phase9-qwen3-vl-migration/docs/phase9_0_model_environment_audit.md,2026-09-15
Phase9.0-B,Qwen3-VL checkpoint preparation,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,3ccd173c286214ced23351f0e7ee70dd2758e31a,"No prior Qwen3-VL checkpoint","Pinned Qwen/Qwen3-VL-2B-Instruct revision 89644892e4d85e24eaac8bacfd4f463576704203 downloaded via mirror; 12 files and 4,266,666,579 bytes; model.safetensors SHA256 7de1838c87a5349b016c26a1c3f7d2bc400a3d485f95ef39a7059ffd734977a0; 2,127,532,032 BF16 params; vision/decoder architecture recorded. No conversion/build/benchmark/quantization",PASS / BOUNDED,experiments/Phase9-qwen3-vl-migration/docs/phase9_0B_checkpoint_preparation_audit.md,2026-09-15
Phase9.1-A,Qwen3-VL PyTorch FP16 inference smoke test,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,a559804f3069f1b37f9b7f11616c8ab59e1cff93,"No prior Qwen3-VL runtime execution","Pinned checkpoint hashes reverified; processor produced finite FP16 pixel_values [784,1536]; 2,127,532,032 parameters loaded in FP16 on cuda:0; one greedy generation decoded red with finite scores. Default SDPA failed because NVIDIA PyTorch does not accept enable_gqa; eager succeeded. CUDA peak allocation 4,366,713,344 bytes",PASS / BOUNDED / DEFAULT_SDPA_INCOMPATIBLE,experiments/Phase9-qwen3-vl-migration/docs/phase9_1A_pytorch_fp16_smoke_test_report.md,2026-09-15
Phase9.1-B,Qwen3-VL PyTorch FP16 baseline benchmark,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,413adc8919260ee5b310c0d5befe468b6c111f56,"No prior Qwen3-VL FP16 benchmark","Frozen deterministic 448x448 image/prompt protocol with eager attention, 16 greedy tokens, 3 warmups, and 10 trials; means preprocess 9.010 ms, vision encoder 230.627 ms, projector 7.397 ms, prefill 420.607 ms, subsequent decode 122.198 ms/token, end-to-end 7.0999 tokens/s; CUDA peak allocation 4,363,340,288 bytes; mean VDD_IN 12,359.895 mW. No TensorRT/ONNX/quantization/optimization",PASS / BOUNDED / EAGER_ATTENTION_BASELINE,experiments/Phase9-qwen3-vl-migration/docs/phase9_1B_pytorch_fp16_baseline_benchmark_report.md,2026-09-15
Phase9.2-A,Qwen3-VL vision encoder TensorRT readiness audit,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super source/metadata audit,phase/09-qwen3vl-migration,e73cf0360a57f83e8faa2a84acfad2ce47bc2ddc,"Phase 9.1-B frozen baseline","Read-only Transformers source and safetensors metadata audit recorded 315 visual tensors / 406,957,056 parameters, 24 blocks, Conv3D, interpolated positions, vision RoPE, cu_seqlens variable-length attention, final merger, and three deepstack taps. A fixed grid_thw [1,28,28] / 784-token single-image export path and migration plan were defined. No export/parser/build/benchmark/quantization occurred; TensorRT compatibility is UNKNOWN",PASS / BOUNDED / MIGRATION_PLAN_ONLY,experiments/Phase9-qwen3-vl-migration/docs/phase9_2A_vision_encoder_trt_readiness_audit.md,2026-09-16
Phase9.2-B1,Qwen3-VL vision encoder ONNX export feasibility,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,a69dd7e2771890d6543a368f534b7e5549038be4,"Phase 9.2-A fixed single-image migration boundary","Static wrapper exported grid_thw [1,28,28] / pixel_values [784,1536] vision graph to FP16 opset-17 ONNX; file is 830,381,691 bytes and Jetson-local. ONNX checker PASS; 2,977 nodes, 314 FP16 initializers, one input, four outputs [196,2048], and zero dynamic-shape indicators. No TensorRT parser/build, correctness execution, benchmark, quantization, optimization, CUDA modification, or persistent environment modification",PASS / BOUNDED / ONNX_EXPORT_GRAPH_ONLY,experiments/Phase9-qwen3-vl-migration/docs/phase9_2B1_vision_onnx_export_feasibility.md,2026-09-16
Phase9.2-B2,Qwen3-VL vision ONNX TensorRT parser audit,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,4f04fe6172e8a9220d9025d013e8e81a09266e40,"Phase 9.2-B1 FP16 opset-17 static vision ONNX graph","TensorRT 10.3.0/ONNX 1.22.0 parsed the unchanged 830,381,691-byte graph with parse_from_file success, 0 parser errors, 0 warnings, and no unsupported operator at the parser boundary; network has 6,276 layers, one [784,1536] HALF input, and four [196,2048] HALF outputs. No BuilderConfig, engine build, correctness execution, benchmark, quantization, optimization, CUDA modification, or environment modification",PASS / BOUNDED / TENSORRT_PARSE_ONLY,experiments/Phase9-qwen3-vl-migration/docs/phase9_2B2_vision_onnx_tensorrt_parser_audit.md,2026-09-16
Phase9.2-C1,Qwen3-VL vision ONNX FP16 TensorRT engine build,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,2bfaf008d8e1e75a869e971dcbdd8f1f42342c3c,"Phase 9.2-B2 parser-compatible FP16 opset-17 static vision ONNX graph","TensorRT 10.3.0 built and serialized an 818,910,588-byte FP16 engine in 168.94034890400508 seconds with 0 warnings and 0 errors using explicit 1 GiB workspace/tactic DRAM pools; metadata records 209 layers, 5 IO tensors, 1 optimization profile, and expected one FP16 input plus four FP16 outputs. No execution context, engine execution, correctness comparison, benchmark, quantization, optimization, CUDA modification, or environment modification",PASS / BOUNDED / TENSORRT_FP16_ENGINE_BUILD_ONLY,experiments/Phase9-qwen3-vl-migration/docs/phase9_2C1_vision_onnx_fp16_engine_build.md,2026-09-16
Phase9.2-C2,Qwen3-VL vision FP16 numerical correctness,Phase 9,BLOCKED / INCONCLUSIVE,Jetson Orin Nano Super,phase/09-qwen3vl-migration,b3fbe54299bd003c606d7680acc8f5bfc3a3b3a4,"Phase 9.2-C1 FP16 TensorRT vision engine and pinned PyTorch FP16 checkpoint","At pixel_values [784,1536] and grid_thw [1,28,28], one PyTorch pass and one TensorRT execution completed with matching [196,2048] output shapes, but all four outputs on both sides were non-finite. Max absolute error, mean absolute error, and cosine similarity are NaN for final_hidden, deepstack_0, deepstack_1, and deepstack_2. CUDA peak allocation was 921025536 bytes. Root cause is UNKNOWN",BLOCKED / NON_FINITE_FP16_FIXED_BOUNDARY,experiments/Phase9-qwen3-vl-migration/docs/phase9_2C2_vision_fp16_correctness.md,2026-09-16
Phase9.2-C2-R1,Qwen3-VL vision non-finite diagnosis,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,17365de97b89e1285d161eac38e3080ab3c4d2c0,"Phase 9.2-C2 non-finite fixed-boundary outputs","Direct CUDA FP16 linspace used by Phase 9.2-C2 produced only 131040 finite elements out of 1204224 (1073184 NaNs). With direct CUDA FP32 linspace and finite FP32-to-FP16 cast input, FP32 and FP16 passes produced all four outputs with finite ratio 1.0; 266 module hooks recorded zero non-finite outputs. FP16 instability was NOT_REPRODUCED, input/boundary mismatch was SUPPORTED / C2_CUDA_FP16_LINSPACE_NONFINITE, and submodule instability was NOT_OBSERVED",PASS / BOUNDED / C2_INPUT_GENERATION_NONFINITE,experiments/Phase9-qwen3-vl-migration/docs/phase9_2C2R1_nonfinite_diagnosis.md,2026-09-16
Phase9.2-C2-R2,Qwen3-VL vision TensorRT FP16 correctness with finite input,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,d1c5341c3ad0280b23e9f406292874972945d61d,"Phase 9.2-C2-R1 corrected finite input and unchanged Phase 9.2-C1 FP16 TensorRT engine","Using direct CUDA FP32 linspace cast to FP16, one PyTorch FP16 pass and one TensorRT FP16 execution completed. All four outputs were finite with ratio 1.0 and matching [196,2048] shapes. Max absolute errors were 4.001953125 final_hidden, 0.09375 deepstack_0, 0.64532470703125 deepstack_1, and 2.30859375 deepstack_2; mean absolute errors were 0.03959130868315697, 0.004188189283013344, 0.016078025102615356, and 0.027240395545959473; cosine similarities were 0.9805147647857666, 0.9998924732208252, 0.9988695383071899, and 0.9978001117706299. No numerical tolerance was applied",PASS / BOUNDED / FINITE_INPUT_CORRECTNESS_METRICS_RECORDED,experiments/Phase9-qwen3-vl-migration/docs/phase9_2C2R2_finite_input_correctness.md,2026-09-16
Phase9.2-D1,Isolated Qwen3-VL vision encoder latency benchmark,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,d0367668dc31f64d16b51829bd26d4922b70c19a,"Phase 9.2-C2-R2 validated finite input and unchanged Phase 9.2-C1 FP16 TensorRT engine","Frozen fixed-boundary protocol used direct CUDA FP32 linspace cast to FP16, 3 warmups, and 30 measured trials per backend with CUDA events. PyTorch mean/median/std were 225.396496582031/225.261184692383/1.37536503957161 ms; unchanged TensorRT were 82.9734232584635/82.4378242492676/2.36526651267192 ms. Mean images/s were 4.43678562153523 and 12.0604065547899; mean vision tokens/s were 869.609981820904 and 2363.83968473882. PyTorch allocator peak allocation/reservation was 925023232/960495616 bytes; TensorRT PyTorch-allocator peak was 19359744/44040192 bytes. Mean VDD_IN was 11077.9254658385 mW and 14440.3333333333 mW over backend setup+warmup+measurement. All last-checked outputs were finite. No optimization/rebuild/quantization/CUDA change",PASS / BOUNDED / VISION_LATENCY_METRICS_RECORDED,experiments/Phase9-qwen3-vl-migration/docs/phase9_2D1_vision_latency_benchmark.md,2026-09-16
Phase9.3-A,Qwen3-VL end-to-end TensorRT vision integration harness,Phase 9,PASS / BOUNDED,Jetson Orin Nano Super,phase/09-qwen3vl-migration,0dd70f788c118e759ffbd0050111c20ceba4c856,"Phase 9.2-C2-R2 validated visual correctness, Phase 9.2-D1 bounded latency, and unchanged Phase 9.2-C1 FP16 TensorRT engine","Runtime model.model.visual adapter used the unchanged C1 TensorRT FP16 engine while the language model and generation rule stayed unchanged. Direct visual outputs had matching [196,2048] shapes, finite ratio 1.0, minimum cosine 0.9991330504417419, maximum mean absolute error 0.012291578575968742, and maximum absolute error 1.51953125. One warmup and three measured 16-token greedy generations per backend completed. Mean first-token latency was 263.0651092529297 ms for PyTorch and 260.0856526692708 ms for TensorRT; total latency was 2129.2288411458335 ms and 2122.2044270833335 ms; mean tokens/s were 7.514606813851262 and 7.539411177985605. Both backends produced identical token sequences and decoded text. Full-vocabulary first-token logit metrics are UNKNOWN because both had one negative infinity",PASS / BOUNDED / END_TO_END_HARNESS_FUNCTIONAL,experiments/Phase9-qwen3-vl-migration/docs/phase9_3A_end_to_end_vision_integration_harness.md,2026-09-16
